kode_provinsi,provinsi,cluster,warna_klaster
36,BANTEN,1,Hijau
32,JAWA BARAT,1,Hijau
16,SUMATERA SELATAN,1,Hijau
18,LAMPUNG,1,Hijau
14,RIAU,1,Hijau
73,SULAWESI SELATAN,1,Hijau
13,SUMATERA BARAT,1,Hijau
19,KEP. BANGKA BELITUNG,1,Hijau
61,KALIMANTAN BARAT,1,Hijau
15,JAMBI,1,Hijau
12,SUMATERA UTARA,1,Hijau
64,KALIMANTAN TIMUR,1,Hijau
63,KALIMANTAN SELATAN,1,Hijau
33,JAWA TENGAH,1,Hijau
35,JAWA TIMUR,1,Hijau
31,DKI JAKARTA,1,Hijau
21,KEP. RIAU,1,Hijau
34,DI YOGYAKARTA,1,Hijau
51,BALI,1,Hijau
81,MALUKU,2,Kuning
11,ACEH,2,Kuning
71,SULAWESI UTARA,2,Kuning
82,MALUKU UTARA,2,Kuning
91,PAPUA,2,Kuning
92,PAPUA BARAT,2,Kuning
96,PAPUA BARAT DAYA,2,Kuning
93,PAPUA SELATAN,2,Kuning
75,GORONTALO,2,Kuning
62,KALIMANTAN TENGAH,2,Kuning
17,BENGKULU,2,Kuning
72,SULAWESI TENGAH,2,Kuning
76,SULAWESI BARAT,2,Kuning
74,SULAWESI TENGGARA,2,Kuning
53,NUSA TENGGARA TIMUR,2,Kuning
65,KALIMANTAN UTARA,2,Kuning
52,NUSA TENGGARA BARAT,2,Kuning
94,PAPUA TENGAH,3,Merah
95,PAPUA PEGUNUNGAN,3,Merah
